component_id,current_stock_units,weeks_of_supply,reorder_point,safety_stock_units,last_replenishment_date
COMP-0521,4853,18.9,8816,263,2024-06-26
COMP-0522,1165,20.7,7917,4728,2024-05-01
COMP-0523,49289,21.0,9300,3037,2024-06-10
COMP-0524,5142,9.4,3877,555,2024-05-15
COMP-0525,24930,16.2,9542,4260,2024-06-01
COMP-0526,48468,18.4,9421,2316,2024-06-06
COMP-0527,20599,9.3,9075,2336,2024-05-14
COMP-0528,36677,24.1,4844,1895,2024-06-06
COMP-0529,16348,17.3,3400,715,2024-04-11
COMP-0530,12671,5.9,1237,3763,2024-04-05
COMP-0531,34627,9.3,7796,3086,2024-05-28
COMP-0532,43811,17.7,4748,987,2024-05-10
COMP-0533,37697,1.9,7784,1011,2024-04-17
COMP-0534,13271,23.0,674,1161,2024-06-26
COMP-0535,7006,5.1,1365,3203,2024-06-09
COMP-0536,27416,17.2,4077,2985,2024-04-10
COMP-0537,9813,14.1,5293,742,2024-06-01
COMP-0538,47052,3.3,8027,3260,2024-06-02
COMP-0539,16473,6.0,1060,218,2024-05-08
COMP-0540,48475,3.1,1347,2752,2024-04-16
COMP-0541,15482,16.0,1271,1816,2024-05-29
COMP-0542,11931,18.5,8974,3725,2024-06-24
COMP-0543,12421,11.1,8966,823,2024-06-03
COMP-0544,47464,18.8,6761,777,2024-06-02
COMP-0545,24081,4.5,3581,4392,2024-05-07
COMP-0546,15282,11.1,9574,154,2024-04-01
COMP-0547,42321,20.8,1846,2133,2024-04-07
COMP-0548,27956,3.3,6912,2662,2024-05-31
COMP-0549,49086,15.8,948,4401,2024-04-01
COMP-0550,43529,4.7,3810,2455,2024-06-05
COMP-0551,12508,15.0,5751,2034,2024-06-09
COMP-0552,28106,2.7,7532,2832,2024-05-04
COMP-0553,34173,3.7,4314,1693,2024-05-03
COMP-0554,36953,11.7,6763,281,2024-04-19
COMP-0555,17673,7.8,5142,882,2024-04-05
COMP-0556,5974,2.9,9446,4520,2024-04-05
COMP-0557,44765,3.2,7778,2978,2024-05-14
COMP-0558,36782,15.5,446,4284,2024-04-07
COMP-0559,28439,13.5,3745,3115,2024-06-09
COMP-0560,19438,21.0,5455,3782,2024-06-10
COMP-0561,20327,9.5,5580,4596,2024-04-23
COMP-0562,31689,18.3,7050,3379,2024-05-26
COMP-0563,21394,17.1,6033,4940,2024-04-29
COMP-0564,20378,22.6,5795,1317,2024-06-07
COMP-0565,10093,25.0,652,3088,2024-06-24
COMP-0566,18234,16.1,9040,2231,2024-04-08
COMP-0567,25659,21.4,5693,2602,2024-04-26
COMP-0568,40268,9.8,5299,1807,2024-06-29
COMP-0569,33469,24.8,2584,4386,2024-06-05
COMP-0570,32593,13.5,7544,2218,2024-06-02
COMP-0571,28664,1.7,9912,328,2024-05-08
COMP-0572,13498,2.5,4669,914,2024-06-10
COMP-0573,22852,3.3,6973,474,2024-04-18
COMP-0574,1479,3.1,6288,2785,2024-06-04
COMP-0575,25749,20.8,1458,65,2024-05-13
COMP-0576,32375,14.3,128,1566,2024-05-17
COMP-0577,34106,1.4,6467,3948,2024-06-26
COMP-0578,32503,18.1,3559,2785,2024-05-01
COMP-0579,18797,6.0,2855,4070,2024-04-29
COMP-0580,49988,14.7,368,4295,2024-05-22
COMP-0581,46822,13.8,2467,4723,2024-06-10
COMP-0582,13010,4.3,5687,3274,2024-05-24
COMP-0583,7563,1.3,5153,4606,2024-05-06
COMP-0584,13021,24.9,7528,3963,2024-06-11
COMP-0585,8182,8.3,2166,1685,2024-04-10
COMP-0586,10210,8.2,4128,2998,2024-04-24
COMP-0587,13260,14.5,476,3313,2024-05-20
COMP-0588,38839,19.1,6286,2509,2024-05-31
COMP-0589,29109,13.9,6401,1748,2024-06-17
COMP-0590,21379,19.7,8829,3698,2024-04-08
COMP-0591,11306,6.7,7232,195,2024-05-22
COMP-0592,7036,1.4,3930,2414,2024-05-24
COMP-0593,20853,0.6,3521,2416,2024-04-14
COMP-0594,6976,13.3,1524,1323,2024-04-20
COMP-0595,16249,4.8,6084,3788,2024-05-05
COMP-0596,10424,22.3,7600,4110,2024-06-01
COMP-0597,46836,16.0,435,2697,2024-06-09
COMP-0598,9976,17.8,7831,2675,2024-04-21
COMP-0599,12002,15.4,9679,1738,2024-04-09
COMP-0600,12242,5.1,6455,2110,2024-04-19
COMP-0601,13905,25.4,6968,1538,2024-06-08
COMP-0602,45131,21.4,3398,4074,2024-06-24
COMP-0603,42804,14.2,6369,1231,2024-06-14
COMP-0604,6618,21.2,1734,2458,2024-06-28
COMP-0605,21437,19.2,7494,1879,2024-05-02
COMP-0606,3419,1.2,4154,121,2024-04-18
COMP-0607,11013,7.7,1344,4898,2024-04-05
COMP-0608,41198,7.0,3088,1236,2024-04-03
COMP-0609,33708,4.6,950,3422,2024-05-21
COMP-0610,874,23.1,7898,3079,2024-04-22
COMP-0611,45302,0.9,9765,1762,2024-05-05
COMP-0612,5480,23.7,1251,1642,2024-04-06
COMP-0613,40149,21.6,3100,3793,2024-05-04
COMP-0614,48906,15.9,1094,405,2024-04-03
COMP-0615,28590,0.5,3150,2984,2024-04-03
COMP-0616,1811,11.5,4198,3272,2024-04-26
COMP-0617,48281,8.2,6084,796,2024-06-21
COMP-0618,5467,12.8,8291,3086,2024-04-30
COMP-0619,3300,1.0,8619,707,2024-04-13
COMP-0620,47158,24.6,7543,1415,2024-06-08
COMP-0621,38247,17.4,3292,872,2024-04-07
COMP-0622,8316,11.1,9928,1303,2024-05-12
COMP-0623,41,18.2,1788,4816,2024-04-15
COMP-0624,46084,9.3,8007,4530,2024-04-04
COMP-0625,25678,13.1,1291,3193,2024-05-11
COMP-0626,44814,19.8,5412,4480,2024-05-06
COMP-0627,27875,5.1,863,1875,2024-05-13
COMP-0628,4132,13.6,6976,1784,2024-05-29
COMP-0629,19689,20.5,606,653,2024-05-16
COMP-0630,7002,12.5,5434,3869,2024-06-06
COMP-0631,27895,2.1,2836,1382,2024-04-27
COMP-0632,38902,8.1,2791,1432,2024-04-01
COMP-0633,32556,13.5,3919,2787,2024-05-26
COMP-0634,48722,0.6,2973,2483,2024-04-14
COMP-0635,49864,18.9,4784,3221,2024-04-04
COMP-0636,25258,17.7,128,4011,2024-06-19
COMP-0637,22859,22.1,4634,981,2024-06-23
COMP-0638,11716,15.3,9898,956,2024-05-25
COMP-0639,27592,15.5,293,121,2024-05-16
COMP-0640,30180,13.0,2231,3607,2024-06-28
COMP-0641,16889,9.0,9995,3702,2024-05-17
COMP-0642,19564,18.7,7870,1934,2024-04-11
COMP-0643,36247,5.3,9420,4521,2024-05-25
COMP-0644,40779,1.6,6900,415,2024-04-26
COMP-0645,4866,23.8,148,3151,2024-04-26
COMP-0646,32608,11.4,5699,2747,2024-04-02
COMP-0647,44961,21.1,7392,3355,2024-04-16
COMP-0648,3664,1.9,316,1730,2024-06-12
COMP-0649,47885,16.4,6587,3676,2024-05-31
COMP-0650,44138,2.9,9733,2273,2024-04-21
COMP-0651,22140,11.2,4861,3488,2024-06-27
COMP-0652,39969,20.2,7305,2631,2024-06-01
COMP-0653,22772,16.0,5218,3165,2024-05-27
COMP-0654,23026,11.6,6194,4784,2024-04-11
COMP-0655,18981,3.3,7213,2979,2024-04-19
COMP-0656,2869,24.4,3441,4963,2024-05-06
COMP-0657,2129,19.2,373,1009,2024-06-18
COMP-0658,7287,24.7,8785,612,2024-04-28
COMP-0659,46185,15.9,5375,84,2024-05-22
COMP-0660,13068,24.2,927,316,2024-05-31
COMP-0661,33482,5.4,3197,172,2024-04-01
COMP-0662,24575,9.4,9432,4715,2024-06-06
COMP-0663,9032,11.3,8073,2962,2024-04-03
COMP-0664,14008,19.9,9022,828,2024-06-21
COMP-0665,6019,25.7,7051,81,2024-05-27
COMP-0666,13206,10.9,8828,4340,2024-04-03
COMP-0667,45817,3.0,6571,2085,2024-05-17
COMP-0668,25702,10.6,592,588,2024-04-08
COMP-0669,17844,24.7,2399,4132,2024-06-21
COMP-0670,34337,25.1,6682,3742,2024-05-02
COMP-0671,17682,25.8,9001,4776,2024-05-03
COMP-0672,47815,1.3,7845,4905,2024-05-22
COMP-0673,43674,21.5,2954,2651,2024-04-30
COMP-0674,16009,24.3,6183,2486,2024-06-22
COMP-0675,36831,3.1,9543,4993,2024-05-29
COMP-0676,41699,9.2,6340,3059,2024-04-29
COMP-0677,7721,21.6,7777,675,2024-06-13
COMP-0678,24741,1.8,1902,1467,2024-05-16
COMP-0679,2201,8.6,1461,3801,2024-04-15
COMP-0680,1519,21.5,9492,2416,2024-06-29
COMP-0681,44262,4.7,5724,1070,2024-05-27
COMP-0682,22119,24.5,4336,3410,2024-05-03
COMP-0683,43202,16.9,2750,1463,2024-04-05
COMP-0684,11776,21.3,685,1904,2024-06-10
COMP-0685,43612,23.4,1615,1640,2024-06-29
COMP-0686,21676,2.7,7437,1442,2024-05-05
COMP-0687,33012,22.5,6247,436,2024-04-16
COMP-0688,46993,10.2,6883,2207,2024-06-15
COMP-0689,11100,13.2,6393,2400,2024-06-22
COMP-0690,43383,8.5,9561,3170,2024-06-29
COMP-0691,5105,15.2,9027,4418,2024-04-25
COMP-0692,13598,10.8,1611,4840,2024-05-02
COMP-0693,551,18.4,2584,3722,2024-06-08
COMP-0694,12464,0.8,2170,4081,2024-06-04
COMP-0695,24401,20.0,2542,1032,2024-05-09
COMP-0696,2863,15.0,1860,3077,2024-06-09
COMP-0697,10310,23.1,4312,1376,2024-04-26
COMP-0698,7840,7.7,6546,2089,2024-06-18
COMP-0699,6231,15.0,7554,3250,2024-05-04
COMP-0700,31373,9.4,9754,1459,2024-04-18
COMP-0701,21085,6.5,5634,1151,2024-06-25
COMP-0702,3618,8.1,6199,1097,2024-04-28
COMP-0703,4267,12.1,7037,2499,2024-05-12
COMP-0704,4761,12.4,6303,163,2024-04-12
COMP-0705,16669,25.5,851,2624,2024-06-26
COMP-0706,49588,18.6,2160,1693,2024-06-22
COMP-0707,34136,4.4,2695,4536,2024-04-25
COMP-0708,11972,2.1,5832,4109,2024-05-19
COMP-0709,47458,25.2,2164,1752,2024-06-20
COMP-0710,19604,12.8,6021,4667,2024-05-08
COMP-0711,32036,9.2,9570,1466,2024-04-23
COMP-0712,26258,17.3,4530,4574,2024-05-28
COMP-0713,37705,2.6,2348,3764,2024-06-20
COMP-0714,44008,20.6,9599,2417,2024-06-07
COMP-0715,49284,18.7,5339,3521,2024-05-29
COMP-0716,21341,18.8,4456,1034,2024-06-09
COMP-0717,2419,5.9,5311,3574,2024-06-29
COMP-0718,43325,18.5,6934,1825,2024-04-01
COMP-0719,37329,19.4,1892,1589,2024-04-05
COMP-0720,12418,25.1,6481,2872,2024-04-01
COMP-0721,14216,26.0,8036,3831,2024-05-04
COMP-0722,3318,23.9,5021,1927,2024-04-16
COMP-0723,45305,8.2,1190,588,2024-06-06
COMP-0724,27498,6.4,8567,1515,2024-06-02
COMP-0725,36803,2.4,5236,424,2024-04-04
COMP-0726,25234,5.4,4962,206,2024-06-05
COMP-0727,10424,16.7,8001,4555,2024-05-19
COMP-0728,12020,23.5,3383,3041,2024-04-21
COMP-0729,14079,11.9,7210,3277,2024-04-02
COMP-0730,27910,11.3,7130,4667,2024-04-04
COMP-0731,15521,19.4,8968,2610,2024-04-21
COMP-0732,43579,13.4,4294,4006,2024-06-12
COMP-0733,36453,9.9,5995,3523,2024-05-29
COMP-0734,1645,4.7,9488,1167,2024-04-16
COMP-0735,16581,1.2,2886,2823,2024-06-26
COMP-0736,41780,12.1,4349,919,2024-06-01
COMP-0737,6536,12.9,6721,538,2024-06-23
COMP-0738,41608,3.1,3546,3336,2024-06-24
COMP-0739,45208,18.4,2162,1803,2024-04-28
COMP-0740,1989,19.8,8628,4682,2024-05-12
COMP-0741,16702,0.6,3195,777,2024-05-02
COMP-0742,1284,6.9,2968,4658,2024-04-03
COMP-0743,1679,1.3,1825,2459,2024-04-05
COMP-0744,29427,10.5,3129,2732,2024-06-22
COMP-0745,26412,25.3,4100,4474,2024-04-28
COMP-0746,29543,8.3,4791,101,2024-05-28
COMP-0747,23682,7.0,6151,3565,2024-06-16
COMP-0748,6270,22.7,6993,3708,2024-04-09
COMP-0749,33220,14.0,8430,4726,2024-04-20
COMP-0750,20154,1.1,9271,3993,2024-05-23
COMP-0751,1715,25.9,2121,4246,2024-04-07
COMP-0752,9101,8.0,8042,3361,2024-04-05
COMP-0753,23026,5.3,389,953,2024-05-05
COMP-0754,39946,23.0,7951,685,2024-06-02
COMP-0755,36007,12.1,3969,2284,2024-06-27
COMP-0756,30416,9.1,8654,3400,2024-06-12
COMP-0757,31677,18.6,4151,412,2024-04-12
COMP-0758,36208,4.9,2232,1585,2024-04-06
COMP-0759,45112,9.8,5554,4787,2024-06-12
COMP-0760,37876,18.8,9953,4504,2024-06-10
COMP-0761,49187,5.6,1003,3064,2024-06-07
COMP-0762,31676,6.4,1199,2641,2024-06-19
COMP-0763,48512,12.9,3839,2997,2024-05-20
COMP-0764,3657,7.0,8310,466,2024-04-11
COMP-0765,16627,25.0,9091,3317,2024-06-13
COMP-0766,1771,16.4,2533,4485,2024-06-17
COMP-0767,31748,2.4,947,1901,2024-05-06
COMP-0768,36947,7.1,8067,4570,2024-04-06
COMP-0769,48379,2.5,7940,2884,2024-05-24
COMP-0770,12948,23.8,773,4548,2024-04-24
COMP-0771,5078,17.9,6897,216,2024-06-04
COMP-0772,6125,24.0,9342,150,2024-04-24
COMP-0773,23993,1.7,4742,4724,2024-06-27
COMP-0774,18139,15.7,1467,3228,2024-04-19
COMP-0775,37549,5.0,9490,820,2024-06-05
COMP-0776,30146,25.7,635,865,2024-04-20
COMP-0777,29814,15.2,4859,1652,2024-05-10
COMP-0778,6788,5.2,2618,3011,2024-06-03
COMP-0779,23239,14.7,2547,3107,2024-06-02
COMP-0780,28943,15.0,7317,1531,2024-05-13
COMP-0781,26848,8.7,9518,3762,2024-05-03
COMP-0782,21355,19.3,100,4656,2024-05-15
COMP-0783,25756,0.5,2163,2529,2024-04-27
COMP-0784,39296,17.5,6661,3911,2024-05-21
COMP-0785,30109,15.1,6429,3920,2024-06-08
COMP-0786,15843,13.6,5236,1037,2024-04-16
COMP-0787,27291,11.6,4391,849,2024-04-02
COMP-0788,19131,6.7,8956,1914,2024-04-09
COMP-0789,47235,22.3,1466,3256,2024-06-13
COMP-0790,29328,25.6,4313,3037,2024-06-21
COMP-0791,17086,13.1,8414,755,2024-06-20
COMP-0792,48897,14.5,9530,3421,2024-04-11
COMP-0793,27983,0.9,8705,2351,2024-06-06
COMP-0794,37758,14.1,3435,4810,2024-06-23
COMP-0795,27629,21.3,3951,4575,2024-06-14
COMP-0796,37987,12.2,7043,1635,2024-06-23
COMP-0797,1745,4.1,1856,3449,2024-05-05
COMP-0798,17229,21.5,964,1999,2024-04-18
COMP-0799,14310,23.1,892,4424,2024-04-04
COMP-0800,5388,24.7,530,4990,2024-06-04
COMP-0801,18759,5.0,6681,4880,2024-04-17
COMP-0802,3405,25.4,8435,1086,2024-04-01
COMP-0803,2378,17.3,851,876,2024-06-05
COMP-0804,19493,4.3,1343,4773,2024-04-06
COMP-0805,31428,1.8,6868,1916,2024-04-02
COMP-0806,23895,8.4,8098,4070,2024-05-18
COMP-0807,36598,17.7,7293,4057,2024-05-19
COMP-0808,15159,1.6,5173,1841,2024-05-15
COMP-0809,26020,7.8,3468,3256,2024-06-05
COMP-0810,49331,11.4,6525,3792,2024-05-22
COMP-0811,40162,25.0,1676,1251,2024-06-09
COMP-0812,47744,5.4,4120,2166,2024-04-27
COMP-0813,44743,11.0,4418,3233,2024-04-12
COMP-0814,41694,13.8,7619,2902,2024-05-18
COMP-0815,46152,24.9,9603,4241,2024-04-27
COMP-0816,19072,23.4,7626,3571,2024-04-04
COMP-0817,20961,25.9,914,3293,2024-04-27
COMP-0818,31267,11.0,5968,478,2024-05-30
COMP-0819,35991,17.2,8062,1171,2024-06-11
COMP-0820,48000,4.1,6138,295,2024-05-16
COMP-0821,5061,16.7,5876,1077,2024-06-16
COMP-0822,5038,7.1,1046,4012,2024-05-06
COMP-0823,12518,20.4,9324,4498,2024-04-23
COMP-0824,47840,3.3,3369,1536,2024-04-10
COMP-0825,6669,3.1,5058,1218,2024-05-12
COMP-0826,31535,8.7,6787,565,2024-06-29
COMP-0827,19527,1.5,6254,1139,2024-05-22
COMP-0828,17787,26.0,8266,918,2024-05-27
COMP-0829,4367,13.1,299,3316,2024-06-05
COMP-0830,2576,18.6,8939,2690,2024-05-24
COMP-0831,21114,9.2,7644,1572,2024-05-14
COMP-0832,48383,5.6,9236,4705,2024-06-01
COMP-0833,17816,12.3,8868,4588,2024-06-01
COMP-0834,31216,11.2,469,3368,2024-05-15
COMP-0835,21699,7.6,4123,1934,2024-05-27
COMP-0836,13676,23.2,6460,4863,2024-05-02
COMP-0837,20551,21.3,6497,2698,2024-06-15
COMP-0838,21291,1.8,3081,129,2024-05-29
COMP-0839,15083,8.9,9989,4581,2024-04-13
COMP-0840,2842,12.2,949,2884,2024-05-29
COMP-0841,648,10.0,2095,661,2024-05-02
COMP-0842,30669,22.0,4954,246,2024-04-09
COMP-0843,2480,25.5,4871,161,2024-06-23
COMP-0844,12064,11.1,2836,1628,2024-05-08
COMP-0845,42699,15.0,5505,3121,2024-04-10
COMP-0846,47371,21.3,2848,684,2024-05-10
COMP-0847,7610,8.1,4956,2961,2024-06-02
COMP-0848,503,20.0,3946,725,2024-05-18
COMP-0849,9937,19.9,1623,4602,2024-05-01
COMP-0850,18916,14.0,9498,3191,2024-05-02
COMP-0851,24608,17.9,4845,3378,2024-05-21
COMP-0852,35604,25.7,1464,3682,2024-04-26
COMP-0853,43162,12.8,6126,4140,2024-04-26
COMP-0854,26177,8.8,1355,1827,2024-06-18
COMP-0855,10852,1.0,1347,1509,2024-04-22
COMP-0856,43195,21.7,2350,3549,2024-04-09
COMP-0857,21023,18.6,1768,180,2024-05-19
COMP-0858,17665,12.9,9198,2922,2024-05-26
COMP-0859,38845,23.5,3016,900,2024-06-09
COMP-0860,18910,5.5,8295,1872,2024-05-03
COMP-0861,48238,3.2,4566,192,2024-06-18
COMP-0862,20628,20.0,2887,2412,2024-04-25
COMP-0863,27097,12.6,2130,4189,2024-06-21
COMP-0864,42476,20.7,7188,3726,2024-04-10
COMP-0865,10485,9.1,8869,1784,2024-06-07
COMP-0866,23837,4.2,8977,700,2024-06-24
COMP-0867,30703,19.9,3211,1028,2024-04-28
COMP-0868,38225,9.7,9872,4999,2024-06-05
COMP-0869,40266,20.4,3844,3019,2024-06-10
COMP-0870,9422,13.6,9483,4394,2024-04-20
COMP-0871,19386,12.7,8290,146,2024-04-24
COMP-0872,16982,21.2,3710,485,2024-04-16
COMP-0873,14644,6.1,5706,1143,2024-04-03
COMP-0874,18651,16.3,9476,2576,2024-04-02
COMP-0875,27513,10.1,5078,2228,2024-05-19
COMP-0876,38182,14.5,554,3779,2024-05-01
COMP-0877,21596,7.0,1184,1060,2024-04-26
COMP-0878,23907,25.6,7957,2393,2024-06-07
COMP-0879,18145,4.9,8431,4952,2024-06-18
COMP-0880,13768,11.9,7319,4636,2024-04-19
COMP-0881,48109,5.9,2897,4039,2024-05-11
COMP-0882,29894,7.6,1241,3011,2024-06-15
COMP-0883,46297,20.0,3268,2774,2024-06-19
COMP-0884,13995,15.4,6158,1284,2024-05-12
COMP-0885,4266,17.4,4894,2856,2024-04-14
COMP-0886,23103,21.3,1704,4794,2024-06-24
COMP-0887,33821,13.5,4873,4683,2024-06-12
COMP-0888,41855,2.4,987,350,2024-06-26
COMP-0889,40239,4.5,5779,4612,2024-04-18
COMP-0890,24432,8.0,9000,289,2024-06-15
COMP-0891,42074,23.0,4155,3832,2024-05-25
COMP-0892,17414,25.6,1172,2526,2024-05-16
COMP-0893,42419,23.3,3489,1928,2024-04-07
COMP-0894,8070,8.3,5018,4817,2024-05-17
COMP-0895,43952,12.7,2271,2842,2024-06-09
COMP-0896,15655,19.9,6260,2412,2024-04-03
COMP-0897,11885,2.7,8442,3541,2024-06-10
COMP-0898,6926,7.1,5364,3134,2024-06-28
COMP-0899,9230,9.6,7573,2564,2024-06-24
COMP-0900,48928,25.4,5137,2815,2024-04-29
COMP-0901,4516,13.6,1671,4190,2024-04-09
COMP-0902,28717,16.8,637,3006,2024-04-26
COMP-0903,27860,4.3,7070,445,2024-04-09
COMP-0904,22049,1.8,3290,4729,2024-06-22
COMP-0905,10950,1.5,4630,1679,2024-04-20
COMP-0906,12529,0.8,8672,589,2024-04-18
COMP-0907,20277,1.3,9814,1597,2024-04-25
COMP-0908,3154,20.8,9992,4211,2024-05-15
COMP-0909,40180,18.6,8860,1974,2024-06-03
COMP-0910,43386,13.6,2320,1984,2024-05-27
COMP-0911,29960,5.0,3362,1975,2024-04-14
COMP-0912,23776,8.9,7080,3734,2024-06-08
COMP-0913,37489,3.4,1368,4351,2024-05-04
COMP-0914,2022,25.0,1177,2968,2024-06-04
COMP-0915,13840,22.3,355,3014,2024-05-27
COMP-0916,1060,3.5,3495,3056,2024-05-01
COMP-0917,49910,21.5,3652,1784,2024-05-04
COMP-0918,36876,16.4,8812,699,2024-04-20
COMP-0919,2251,12.3,6996,427,2024-04-29
COMP-0920,24107,0.7,6670,2926,2024-04-28
COMP-0921,33239,14.3,2695,1090,2024-06-19
COMP-0922,16265,0.9,327,289,2024-06-15
COMP-0923,16303,3.9,296,4026,2024-05-10
COMP-0924,4166,25.5,4063,2983,2024-04-18
COMP-0925,18720,11.1,1553,3864,2024-05-22
COMP-0926,46432,13.1,3685,600,2024-04-30
COMP-0927,5047,9.6,6445,3074,2024-04-27
COMP-0928,46449,21.8,2966,4979,2024-04-04
COMP-0929,39523,20.5,3018,1492,2024-04-17
COMP-0930,35095,2.7,4959,3435,2024-04-20
COMP-0931,2018,5.8,4134,4403,2024-05-04
COMP-0932,13753,2.7,4426,3745,2024-04-02
COMP-0933,13840,13.5,2522,740,2024-04-30
COMP-0934,10490,19.4,1239,2630,2024-05-02
COMP-0935,11898,14.0,4988,1236,2024-04-05
COMP-0936,3366,3.4,9118,1313,2024-05-27
COMP-0937,47881,24.0,5216,634,2024-04-17
COMP-0938,41535,23.1,3926,4839,2024-05-26
COMP-0939,9287,16.1,2785,2617,2024-05-28
COMP-0940,32533,10.9,6262,4325,2024-04-19
COMP-0941,42745,7.4,9548,2324,2024-05-15
COMP-0942,39313,4.5,7272,3404,2024-04-19
COMP-0943,37604,4.3,5872,3729,2024-04-12
COMP-0944,41268,5.0,4324,2980,2024-06-12
COMP-0945,39754,24.4,7877,3991,2024-05-26
COMP-0946,22559,3.1,880,4616,2024-05-02
COMP-0947,45936,11.4,3770,1783,2024-05-30
COMP-0948,47599,16.9,4709,2801,2024-05-12
COMP-0949,18953,13.0,1726,4863,2024-05-19
COMP-0950,29971,3.3,5503,2612,2024-06-16
COMP-0951,43402,7.5,5349,856,2024-05-04
COMP-0952,7288,6.1,3790,697,2024-05-01
COMP-0953,37909,4.5,4000,3402,2024-04-18
COMP-0954,27401,23.8,4374,4949,2024-06-12
COMP-0955,23836,21.3,8776,4980,2024-06-20
COMP-0956,30618,17.2,5364,564,2024-05-16
COMP-0957,20734,24.6,3963,4740,2024-04-27
COMP-0958,16550,22.1,9663,4372,2024-04-17
COMP-0959,38006,17.0,7284,1979,2024-04-11
COMP-0960,31733,2.4,6173,4599,2024-05-08
COMP-0961,47220,24.7,1118,3480,2024-05-02
COMP-0962,20216,5.5,5601,2855,2024-05-14
COMP-0963,15654,17.7,3491,2376,2024-05-06
COMP-0964,12062,6.9,5043,889,2024-05-13
COMP-0965,47040,22.2,4671,3737,2024-04-10
COMP-0966,20564,8.7,7617,2855,2024-06-26
COMP-0967,38263,25.8,9261,486,2024-06-18
COMP-0968,38121,11.3,6888,2884,2024-06-16
COMP-0969,34592,24.3,9982,1998,2024-04-02
COMP-0970,26834,13.0,1524,381,2024-04-10
COMP-0971,11958,11.6,6784,3066,2024-05-14
COMP-0972,38208,16.1,482,502,2024-04-13
COMP-0973,31602,4.6,127,3336,2024-05-14
COMP-0974,24115,9.3,5654,86,2024-06-27
COMP-0975,34452,6.7,7462,2069,2024-05-02
COMP-0976,29674,11.5,5636,3776,2024-05-07
COMP-0977,40346,15.1,6981,2868,2024-05-10
COMP-0978,13227,11.5,4417,791,2024-05-16
COMP-0979,47708,11.7,4576,4535,2024-06-11
COMP-0980,41715,3.9,7276,4480,2024-04-09
COMP-0981,14797,1.7,6286,2650,2024-05-01
COMP-0982,10254,24.2,3679,349,2024-04-06
COMP-0983,40809,15.0,8475,1875,2024-04-08
COMP-0984,37046,22.8,6533,2474,2024-06-15
COMP-0985,43703,17.4,9052,3072,2024-06-02
COMP-0986,37419,18.0,9979,1833,2024-04-09
COMP-0987,46371,14.6,155,2910,2024-04-26
COMP-0988,25682,19.9,236,3482,2024-05-02
COMP-0989,22046,18.1,2820,2546,2024-06-18
COMP-0990,19974,22.6,8258,2568,2024-05-17
COMP-0991,47469,10.8,5124,3256,2024-05-29
COMP-0992,20512,8.3,8742,583,2024-05-24
COMP-0993,38331,17.2,3069,4644,2024-04-17
COMP-0994,14310,7.0,1727,1993,2024-06-20
COMP-0995,38719,10.9,1685,260,2024-04-21
COMP-0996,30927,1.9,5462,325,2024-05-04
COMP-0997,37390,10.5,7974,56,2024-06-07
COMP-0998,39352,1.1,7663,3895,2024-04-17
COMP-0999,11349,23.1,8062,3151,2024-06-21
COMP-1000,32349,22.8,1166,4843,2024-05-18
COMP-1001,14556,15.1,3984,2135,2024-06-24
COMP-1002,30502,24.6,6473,3535,2024-04-30
COMP-1003,10581,25.0,4699,2398,2024-04-29
COMP-1004,27032,17.6,663,1190,2024-06-24
COMP-1005,46842,16.2,3141,131,2024-06-10
COMP-1006,44671,16.3,478,1564,2024-06-04
COMP-1007,23743,7.2,5376,2972,2024-04-29
COMP-1008,631,2.7,8968,1346,2024-04-20
COMP-1009,40461,8.9,1645,1503,2024-05-28
COMP-1010,33578,2.4,2142,777,2024-04-21
COMP-1011,19184,25.9,7957,731,2024-04-06
COMP-1012,44600,3.9,4403,2578,2024-06-29
COMP-1013,4784,22.4,5362,4874,2024-06-05
COMP-1014,16513,11.7,2069,4966,2024-04-10
COMP-1015,45654,18.9,4572,1253,2024-05-19
COMP-1016,27509,11.7,3792,352,2024-04-21
COMP-1017,45020,11.5,7569,326,2024-06-05
COMP-1018,42700,0.5,1477,1653,2024-06-19
COMP-1019,5670,18.1,1730,1476,2024-04-17
COMP-1020,19599,18.9,7396,4895,2024-04-01
COMP-1021,29359,7.4,9630,4680,2024-06-16
COMP-1022,23410,23.3,1617,4103,2024-06-20
COMP-1023,13540,14.0,3467,218,2024-05-05
COMP-1024,28735,20.6,5998,1335,2024-05-09
COMP-1025,40123,2.7,8526,2201,2024-04-13
COMP-1026,3693,6.2,5941,1753,2024-04-03
COMP-1027,29782,22.1,9404,3118,2024-04-08
COMP-1028,16337,6.3,3883,735,2024-06-13
COMP-1029,15419,21.6,8751,4083,2024-04-02
COMP-1030,25431,16.6,8498,4064,2024-06-17
COMP-1031,2876,12.6,1732,1436,2024-04-21
COMP-1032,754,23.8,1815,3758,2024-04-29
COMP-1033,35544,23.1,3192,3662,2024-05-07
COMP-1034,4146,10.3,7359,3386,2024-05-25
COMP-1035,28645,14.2,224,4791,2024-04-22
COMP-1036,20878,23.3,9692,2047,2024-06-22
COMP-1037,123,4.3,9808,4961,2024-06-26
COMP-1038,16734,23.6,7515,3406,2024-04-05
COMP-1039,41863,5.7,8268,1249,2024-06-16
COMP-1040,33215,15.3,683,2718,2024-05-17
COMP-1041,11154,12.4,1182,2995,2024-05-09
COMP-1042,18446,11.1,7257,4027,2024-06-01
